UserId,Email,UserName,FirstName,LastName,MiddleName,Password,PhoneOne,PhoneTwo,ImageUrl,BirthDate,IsApproved,RoleId,CreatedOn,UpdatedOn,CreatedBy,UpdatedBy,IsTasker,IsEmployee,TotalReviews,AvgReviews,Skills
14,raza564@gmail.com,raza564,Raza,Ali,,G%%rQFmfvc@9,3334343234,,,14/06/1991,1,1,01/01/2023,01/01/2023,,,1,0,23,4.9,"Gardner,Garden Cleaner,Mali"
15,shahzadali898@outlook.com,shali898,Shahzad,Ali,,(7lYe6eH6%2v,3089876232,,,11/11/1989,1,1,01/01/2023,01/01/2023,,,1,0,11,3.3,"Chokidar,Gatekeeper,Securitygard,Security"
16,malik34311@gmail.com,malik34311,Zain,Sha,,^10fy+cL57Oi,3050987892,,,09/10/1993,1,1,01/01/2023,01/01/2023,,,1,0,9,2.2,Carpenter
17,waseemali0092@gmail.com,waseem0092,Waseem,Ali,,(7lYe6eH6%2v,3094309893,,,09/07/1964,1,1,01/01/2023,01/01/2023,,,1,0,1,2.4,"Electrician, Ac Service"
18,imranriaz45@gmail.com,imran4543,Imran,Khan,Riaz,@h9J91nOp+)P,3002355476,,,11/08/1992,1,1,01/01/2023,01/01/2023,,,1,0,17,4.1,Gardner
19,hafiz11221@gmail.com,hafiz11221,Hafiz,Shaheer,,y#BRPq*e^5@*,3455443667,,,11/04/1990,1,1,01/01/2023,01/01/2023,,,1,0,26,3.5,"Web Developer,Java,Shopify Developer,Shopify Expert,Shopify Website Maker"
20,ranaali009@gmail.com,ranaali009,Rana,Ali,,$h5HQxv05q6v,3098798780,,,12/10/1996,1,1,01/01/2023,01/01/2023,,,1,0,34,4.1,"Video Editor,Movie Maker,Camer Man,Video Maker,Still Photographer"
21,khatak007@gmail.com,khatak007,Ali,Khatak,,mjhffff889,3022300099,,,08/07/1998,1,1,01/01/2023,01/01/2023,,,1,0,7,3.9,"Plumber, Worker,sanitary worker,sanitary cleaner"
22,zeeshan8977@gmail.com,shani8977,Zeeshan,Ahmad,,y9+r6TlJ1#Qm,3404432399,,,11/01/1974,1,1,01/01/2023,01/01/2023,,,1,0,15,2.8,"Mazdor,Mistry,Worker"
23,shhadab9099@gmail.com,shady9099,Shadab,Khan,,kqWSHn9yN#0Y,343399206,,,07/06/1999,1,1,01/01/2023,01/01/2023,,,1,0,35,3.2,"Wordpress developer,wordpress expert,Web Designer,web developer"
24,kabirkabi23@gmail.com,kabir67787,Kabir,Ali,,ZwMqn3Nm_8Ab,3062226545,,,11/03/1997,1,1,01/01/2023,01/01/2023,,,1,0,15,2.5,"Painter,door and wall painter,paint worker"
25,bilalkhn88@gmail.com,bilalbila33,Bilal,Khan,,@rzVKXCp303,3001239876,,,03/05/1989,1,1,01/01/2023,01/01/2023,,,1,0,26,2.9,"Java developer,Python programmer,python developer,Coder"
26,rajariaz@gmail.com,rajariaz,Raja,Riaz,,*IDNyaJ(f9tg,3001239006,,,24/05/1993,1,1,01/01/2023,01/01/2023,,,1,0,33,3.2,"Machine Learning engineer,Python developer,Ruby on rails,data scientist"
27,fawadch007@outlook.com,fawaddd007,Fawad,Ch,,*rzujHsr8_hg,3022344876,,,12/04/1983,1,1,01/01/2023,01/01/2023,,,1,0,59,3.6,"Plumber,Electrician,electric worker,sanitary worker"
28,nomivfx@gmail.com,nomi23211,Nouman,Khan,,)gv90MCxn1)#,3054343212,,,09/11/1995,1,1,01/01/2023,01/01/2023,,,1,0,38,3.1,"Worker,Mazdoor,Mazdor,cleaner"
29,techbuzz43@gmail.com,techbuzz43,Parvaiz,Ali,,1CN8ak^q@o%n,3190044206,,,18/07/1998,1,1,01/01/2023,01/01/2023,,,1,0,8,3.5,"gardner,gate keeper"
30,subtain7343@gmail.com,subtain7343,Subtain,Khan,,_(CV&0Zi3*yy,3022344876,,,07/08/1990,1,1,01/01/2023,01/01/2023,,,1,0,6,2.4,Painter
31,shahzadgill44@gmail.com,gill44,Shahzad,Gill,,Xb4behcq!3_K,3400443442,,,11/04/1987,1,1,01/01/2023,01/01/2023,,,1,0,4,2.3,"Video Editor,Camera Man,Movie Maker,still photographer,photo editor"
32,ranaqasim@gmail.com,ranaqasim090,Rana,Qasim,,$^NSvG#HY@9_,3098767876,,,12/12/1978,1,1,01/01/2023,01/01/2023,,,1,0,38,3.5,"Video maker,Video Editor,Adobe Expert"
33,shoaib4407@gmail.com,shaibi4407,Shoaib,Akhtar,,*b5vMyuR&aMd,3022344009,,,02/11/1989,1,1,01/01/2023,01/01/2023,,,1,0,36,3.1,"Plumber,worker,mazdoor"
34,umairrana@gmail.com,marry000,Umair,Rana,,8N&I_)e@)Q3T,3090987890,,,01/04/1997,1,1,01/01/2023,01/01/2023,,,1,0,44,4.2,"Worker,Mazdoor,Per day Worker"
35,qamarbajwa@gmail.com,bajwa2343,Qamar,Bajwa,,w1KXecv+2i&,3433323206,,,09/07/1984,1,1,01/01/2023,01/01/2023,,,1,0,22,3.4,"Wordpress,wordpress expert,wordpress website developer and designer"
36,civaldr090@gmail.com,civaldr090,Syed,Rehman,,a_OlG+MN+8N),3067876545,,,11/03/1974,1,1,01/01/2023,01/01/2023,,,1,0,45,2.9,"Electrician,wiring man,electric worker"
37,kings4324@gmail.com,kingzxcre,Babar,Azam,,%@F8KXewXoYc,3099987433,,,07/06/1976,1,1,01/01/2023,01/01/2023,,,1,0,29,2.5,"Electrician,Electric worker,Plumber"
38,asimraza54@gmail.com,araza54,Asim,raza,,G%%rQFmfvc@9,3334343234,,,14/06/1991,1,1,01/01/2023,01/01/2023,,,1,0,6,4.8,"Teacher,Math Teacher,Home Tutor"
39,sanaamir@outlook.com,sana909,Sana,Amir,,(7lYe6eH6%2v,3089844232,,,11/11/1989,1,1,01/01/2023,01/01/2023,,,1,0,11,4,"Shopify developer,shopify expert,shopify theme editor"
40,rehankhan22@gmail.com,rehan22,Rehan,Khan,,^10fy+cL57Oi,3050987894,,,09/10/1993,1,1,01/01/2023,01/01/2023,,,1,0,5,3.9,"Carpenter,Wood Worker"
41,majidf9034@gmail.com,majidf3092,Majid,Ali,,(7lYe6eH6%2v,3094309893,,,09/07/1964,1,1,01/01/2023,01/01/2023,,,1,0,22,3.5,Cleaner
42,abdullah451@gmail.com,ab451ab,Abdullah,shahid,,@h9J91nOp+)P,3002355476,,,11/08/1992,1,1,01/01/2023,01/01/2023,,,1,0,44,3.8,"Ac Washer,Electrician"
43,javaid324445@gmail.com,javaid32445,Javaid,Iqbal,,y#BRPq*e^5@*,3455443667,,,11/04/1994,1,1,01/01/2023,01/01/2023,,,1,0,15,3.1,"graphic designer,logo maker,logo designer"
44,ranaaqeel049@gmail.com,raqeelli049,Rana,Aqeel,,$h5HQxv05q6v,3098798780,,,12/10/1996,1,1,01/01/2023,01/01/2023,,,1,0,4,2.4,"Video Editor,Movie Maker"
45,saimali0074@gmail.com,saimii0074,Saim,Ali,,mjhffff889,3022300099,,,08/07/1998,1,1,01/01/2023,01/01/2023,,,1,0,26,3.5,"Plumber,Worker"
46,alizain4343@gmail.com,zain4343,Ali,Zain,,y9+r6TlJ1#Qm,340443255,,,11/01/1999,1,1,01/01/2023,01/01/2023,,,1,0,14,3.9,Wordpress
47,saifkhn4@gmail.com,saifii4,Saif,Khan,,G%%rQFmfvc@9,3334343234,,,14/06/1991,1,1,01/01/2023,01/01/2023,,,1,0,15,5,"Car Washer,Car service"
48,sohailsameer@outlook.com,sameer909,Sohail,Sameer,,(7lYe6eH6%2v,3089844232,,,11/11/1989,1,1,01/01/2023,01/01/2023,,,1,0,17,3.5,Shopify
49,saeedkh88@gmail.com,khan88,Saeed,Khan,,kqWSHn9yN#0Y,343399935,,,07/06/1984,1,1,01/01/2023,01/01/2023,,,1,0,21,4.5,"Wordpress,Shopify"
50,nasiralii3@gmail.com,nasirr787,Nasir,Ali,,ZwMqn3Nm_8Ab,3062226545,,,11/03/1997,1,1,01/01/2023,01/01/2023,,,1,0,35,3.9,Painter
51,khanbb32@gmail.com,khanbb32,Mr,Kahn,,@rzVKXCp303,3001239876,,,03/05/1989,1,1,01/01/2023,01/01/2023,,,1,0,29,4.5,"Python,SQL"
52,arazaq90@gmail.com,arazaq90,Abdul,razaq,,*IDNyaJf9tg,3001244006,,,24/05/1993,1,1,01/01/2023,01/01/2023,,,1,0,33,4.2,"Django,Python,"
53,sheraz99880@gmail.com,sherry99880,Sheraz,Ali,,*rzujHsr8_hg,3022654809,,,12/04/1987,1,1,01/01/2023,01/01/2023,,,1,0,35,4.8,Plumber
54,rohan7876@gmail.com,rohan7876,Rohan,Khan,,gv90MCxn1#,3054343898,,,09/10/1995,1,1,01/01/2023,01/01/2023,,,1,0,23,4.5,Worker
55,khizarkhizrii08@gmail.com,khizar08,Khizar,Hayat,,1CN8ak^q@o%n,3109993206,,,18/07/1998,1,1,01/01/2023,01/01/2023,,,1,0,4,3.9,"Java,Wordpress"
56,mudassar990@gmail.com,mudassar990,Mudassar,Hassan,,CV&0Zi3*yy,3020044476,,,17/08/1995,1,1,01/01/2023,01/01/2023,,,1,0,29,4.4,Painter
57,kami007007@gmail.com,kamii007,Kamran,Akmal,,Xb4behcq!3_K,3455443442,,,11/04/1987,1,1,01/01/2023,01/01/2023,,,1,0,13,5,"Video Editor,Movie Maker,Photo Editor"
58,tanveer89898@gmail.com,tan89898,Tanveer,Ahmad,,$^NSvG#HY@9_,3098767809,,,12/12/1977,1,1,01/01/2023,01/01/2023,,,1,0,19,4.5,"Video Editor,Movie Maker"
59,awaisali989@gmail.com,awaisali989,Awais,Ali,,*b5vMyuR&aMd,3022344003,,,02/11/1988,1,1,01/01/2023,01/01/2023,,,1,0,9,4.9,Plumber
60,umairbutt022@gmail.com,umair022,Umair,Butt,,8N&I_)e@)Q3T,3090987890,,,11/04/1994,1,1,01/01/2023,01/01/2023,,,1,0,13,5,Worker
61,sidhubrand33@gmail.com,brand33,Sidhu,Lahori,,+w1KXecv+2i&,3433323206,,,09/07/1984,1,1,01/01/2023,01/01/2023,,,1,0,5,3.5,Electrician
62,nadirali121@gmail.com,nadir121,Nadir,Ali,,a_OlG+MN+8N),3067436545,,,11/03/1999,1,1,01/01/2023,01/01/2023,,,1,0,11,2.9,Painter
63,mehranbalooch44@gmail.com,mehri44,Mehran,Balooch,,%@F8KXewXoYc,3099987990,,,07/06/1999,1,1,01/01/2023,01/01/2023,,,1,0,34,3.3,Electrician
64,hasaan12121@gmail.com,hassan12121,Hassan,Ali,,^10fy+cL57Oi,3098987892,,,09/10/1993,1,1,01/01/2023,01/01/2023,,,1,0,33,4.4,Carpenter
65,asim91234@gmail.com,asim91234,Asim,Ali,,7lYe6eH6%2v,3094309893,,,09/07/1964,1,1,01/01/2023,01/01/2023,,,1,0,7,4,Cleaner
66,arshadiqbl33@gmail.com,ariqbal133,Arshad,Iqbal,,@h9J91nOp+)P,3002355476,,,11/08/1992,1,1,01/01/2023,01/01/2023,,,1,0,29,2.9,Ac Mechanic
67,bilawal0909@gmail.com,bilawal0909,Bilawal,Bhatti,,y#BRPq*e^5@*,3455443667,,,11/04/1990,1,1,01/01/2023,01/01/2023,,,1,0,22,4.5,"Web Developer,Shopify developer,wordpress developer"
68,ijazkh44@gmail.com,ijazkh44,Ijaz,Khan,,$h5HQxv05q6v,3098798780,,,12/10/1996,1,1,01/01/2023,01/01/2023,,,1,0,10,2.5,"Video Editor,Movie Maker"
69,saifalis08@gmail.com,saif009,Muhammad,Saif,,1N8ak^q@on,3100983206,,,18/01/1994,1,1,01/01/2023,01/01/2023,,,1,0,14,3.9,"Shopify,Java,Wordpress"
70,kingsom990@gmail.com,kingsom990,Ali,Hassan,,CV&0Zi3*yy,3029870476,,,27/08/1987,1,1,01/01/2023,01/01/2023,,,1,0,29,4.3,"Painter,Wall Paint"
71,shanii007007@gmail.com,shanii007,Zeeshan,Ali,,Xb4behcq!3_K,3455443442,,,01/04/1977,1,1,01/01/2023,01/01/2023,,,1,0,43,4.2,"Video Editor,Movie Maker,Photo Editor"
72,tanveerali898@gmail.com,tanii89898,Tanveer,Ali,,$^NSvG#HY@9_,3048767999,,,12/12/1997,1,1,01/01/2023,01/01/2023,,,1,0,11,4.5,"Video Editor,Movie Maker"
73,asadazeem90@gmail.com,aazem90,Asad,Azeem,,*b5vMyuR&aMd,3022094003,,,02/11/1991,1,1,01/01/2023,01/01/2023,,,1,0,19,4.2,Plumber
74,arslanbut232@gmail.com,arslan232,Arslan,Butt,,8N&Ie@Q3T,3030987890,,,11/04/1994,1,1,01/01/2023,01/01/2023,,,1,0,23,4.5,Worker
75,waseembadami90@gmail.com,waseembadami90,Waseem,Badami,,+w1KXecv+2i&,3439923206,,,09/07/1984,1,1,01/01/2023,01/01/2023,,,1,0,15,3.5,Electrician
76,zahoreali1243@gmail.com,zahore1243,Zahore,Ali,,a_OlG+MN+8N),3067896545,,,11/03/1999,1,1,01/01/2023,01/01/2023,,,1,0,21,3.9,Painter
77,zubairbalooch44@gmail.com,zunair675,Zunair,Balooch,,%@F8KXewXoYc,3012127990,,,07/06/1999,1,1,01/01/2023,01/01/2023,,,1,0,14,3.4,Electrician
78,afali098@gmail.com,Afali098,Aftab,Ali,,^10fy+cL57Oi,3097677892,,,09/10/1993,1,1,01/01/2023,01/01/2023,,,1,0,43,4.4,Carpenter
79,abdullahdonzai@gmail.com,donzai89,Abdullah,Don,,7lYe6eH6%2v,309909893,,,09/07/1964,1,1,01/01/2023,01/01/2023,,,1,0,17,4.3,Video Editor
80,ranabab3432@gmail.com,ranbab,Rana,Babar,,@h9J91nOp+)P,3002355476,,,11/08/1992,1,1,01/01/2023,01/01/2023,,,1,0,19,3.8,Ac Mechanic
81,bilawalzd009@gmail.com,bilawalzd009,Bilawal,Zardari,,y#BRPq*e^5@*,3458973667,,,11/04/1990,1,1,01/01/2023,01/01/2023,,,1,0,12,2.5,"Web Developer,Shopify developer,wordpress developer"
82,ranaaqeel007@gmail.com,ranaaqeel007,Rana,Aqeel,,$h5HQxv05q6v,3098098780,,,01/01/1999,1,1,01/01/2023,01/01/2023,,,1,0,14,4.2,"Video Editor,Movie Maker,Video Maker,Still Photographer"
83,waseemshkt@gmail.com,wshkt323,Waseem,Shoukat,,mjhffff889,3022301239,,,08/07/1992,1,1,01/01/2023,01/01/2023,,,1,0,16,4.4,"Plumber,Worker,sanitary worker,sanitary cleaner"
84,happygujjar@gmail.com,happygj44,Asif,Ali,Gujjar,y9+r6TlJ1#Qm,3404438889,,,11/01/1994,1,1,01/01/2023,01/01/2023,,,1,0,18,4.4,"Mazdor,Mistry,Worker"
85,baburana33@gmail.com,babu33,Babar,Rana,,kqWSHn9yN#0Y,344499206,,,07/06/1993,1,1,01/01/2023,01/01/2023,,,1,0,45,4.1,"Wordpress developer,wordpress expert,web developer"
86,sagarji23@gmail.com,sagarji,Sagar,Ali,,ZwMqn3Nm_8Ab,3065446545,,,11/03/1992,1,1,01/01/2023,01/01/2023,,,1,0,19,3.9,"Painter,wall painter,paint worker"
87,fahadali890@gmail.com,fahadali890,Fahad,Ali,,@rzVKXCp303,3233239876,,,03/05/1989,1,1,01/01/2023,01/01/2023,,,1,0,32,3.7,"Java developer,Python programmer,python developer,Coder"
88,husnain434@gmail.com,husii434,Husnain,Shah,,*IDNyaJ(f9tg,3001239336,,,24/05/1994,1,1,01/01/2023,01/01/2023,,,1,0,23,4.3,"Machine Learning engineer,Ruby on rails,data scientist"
89,waseemali33@outlook.com,wasii33,Waseem,Ali,,*rzujHsr8_hg,3011444876,,,12/04/1993,1,1,01/01/2023,01/01/2023,,,1,0,19,1.9,"Plumber,Electrician,electric worker,sanitary worker"
90,nomikhan007@gmail.com,nomikh007,Nouman,Khan,Nomi,)gv90MCxn1)#,3054348765,,,09/11/1992,1,1,01/01/2023,01/01/2023,,,1,0,19,4.2,"Worker,Mazdoor,Mazdor,cleaner"
91,alirashid43@gmail.com,alirash43,Rashid,Ali,,1CN8ak^q@o%n,3191234206,,,18/07/1999,1,1,01/01/2023,01/01/2023,,,1,0,18,3.5,"gardner,gate keeper"
92,subtainhaider78@gmail.com,subtainhaider78,Subtain,Haider,,CV&0Zi3*yy,3022876876,,,07/08/1992,1,1,01/01/2023,01/01/2023,,,1,0,26,4.4,Painter
93,parvaizash11@gmail.com,pzashi11,Parwaiz,Ashraf,,Xb4behcq!3_K,3478543442,,,11/04/1977,1,1,01/01/2023,01/01/2023,,,1,0,14,2.9,"Video Editor,Camera Man,Movie Maker,still photographer,photo editor"
94,waqasviki123@gmail.com,viki00123,Waqas,Viki,,$^NSvG#HY@9_,3098093876,,,12/12/1998,1,1,01/01/2023,01/01/2023,,,1,0,18,3.8,"Video maker,Video Editor,Adobe Expert"
95,shanish0901@gmail.com,shanish0901,Shani,Shaikh,,*b5vMyuR&aMd,3022387659,,,02/03/1989,1,1,01/01/2023,01/01/2023,,,1,0,16,3.9,"Plumber,worker,mazdoor"
96,zeerana110@gmail.com,zee1101,Zeeshan,Rana,,8N&I_)e@)Q3T,3090787890,,,01/04/1997,1,1,01/01/2023,01/01/2023,,,1,0,24,1.8,"Worker, Mazdoor, Per day Worker"
97,qamarbajwa@gmail.com,qmraza056,Qamar,Raza,,w1KXecv+2i&,3434523206,,,09/07/1984,1,1,01/01/2023,01/01/2023,,,1,0,27,3.5,"Wordpress,wordpress expert,wordpress website developer and designer"
98,mrehman087@gmail.com,mrehman087,Mian,Rehman,,a_OlG+MN+8N),3069876545,,,11/03/1974,1,1,01/01/2023,01/01/2023,,,1,0,15,3.8,"Electrician,wiring man,electric worker"
99,skakeelmian43@gmail.com,shakeelm43,Shakeel,Mian,,%@F8KXewXoYc,3099987673,,,07/06/1976,1,1,01/01/2023,01/01/2023,,,1,0,29,5,"Electrician,Electric worker,Plumber"
100,nasirch78@gmail.com,nasirch78,Nasir,Ch,,G%%rQFmfvc@9,3334343874,,,14/06/1993,1,1,01/01/2023,01/01/2023,,,1,0,33,3.9,"Teacher,English Teacher,Home Tutor"
101,salmankh09@gmail.com,salmankh09,Salman,Khan,,rzVKXCp303,3334239876,,,03/05/1977,1,1,01/01/2023,01/01/2023,,,1,0,74,3.8,"Java Developer,SQL,DB Management"
102,shahrukh88@gmail.com,shahrukh88,Shahrukh,Khan,,IDNyaJ(f9tg,323239788,,,24/05/1983,1,1,01/01/2023,01/01/2023,,,1,0,47,2.5,"Machine Learning,Python,FastAPI,Django,Data Science"
103,chotadon007@gmail.com,chotadon007,Rashid,Ashraf,,rzujHsr8hg,3222344876,,,12/04/1989,1,1,01/01/2023,01/01/2023,,,1,0,38,3.5,"Plumber,sanitary worker"
104,tahirsaleem34@gmail.com,tahirsaleem34,Tahir,Saleem,,gv90MCxn1,3094387612,,,09/11/1994,1,1,01/01/2023,01/01/2023,,,1,0,56,4.4,"Worker,Mazdoor,Mazdor,Mistry"
105,ammarbut54@gmail.com,ammarbut54,Ammar,But,,1CN8akq@on,3176543206,,,18/07/1999,1,1,01/01/2023,01/01/2023,,,1,0,18,4.2,"Wordpress,Shopify,website developer,Ecommerece Developer"
106,wasimalik44@gmail.com,wasimalik44,Wasi,Malik,,CV&0Zi3*y,3042321476,,,17/08/1991,1,1,01/01/2023,01/01/2023,,,1,0,48,4.5,"Painter,Wall and door painter"
107,umerbut651@gmail.com,umerbut651,Umer,Butt,,Xb4behcq3K,3419843442,,,11/04/1993,1,1,01/01/2023,01/01/2023,,,1,0,13,4.1,"Photographer,Photo Editor,Adobe Photoshop Expert"
108,ksgujjar11@gmail.com,ksgujjar11,Kashif,Gujjar,,$NSvG#HY@9,3098987654,,,12/12/1987,1,1,01/01/2023,01/01/2023,,,1,0,36,4.3,"Video Editor,Movie Maker"
109,moeezrana01@gmail.com,moeezrana01,Moeez,Rana,,b5vMyuRaMd,3022398093,,,02/11/1994,1,1,01/01/2023,01/01/2023,,,1,0,28,2.7,"Django developer,web developer"
110,bilaljv33@gmail.com,bilaljv33,Bilal,Javid,,8N&IeQ3T,3040987091,,,11/04/1998,1,1,01/01/2023,01/01/2023,,,1,0,28,4.4,"Worker,Mazdoor,Misitry"
111,shabirmughal90@gmail.com,shabirmughal90,Shabir,Mughal,,w1KXecv2i,3093321106,,,09/07/1994,1,1,01/01/2023,01/01/2023,,,1,0,19,3.9,"Cook,Chef"
112,khaliddar44@gmail.com,khaliddar44,Khalid,Dar,,aOlG+MN+8N),3067096545,,,10/03/1984,1,1,01/01/2023,01/01/2023,,,1,0,62,4.5,"Painter,Wall painter"
113,danish098@gmail.com,danish098,Danish,Butt,,%@F8KXewXoYc,3430987431,,,07/06/1976,1,1,01/01/2023,01/01/2023,,,1,0,21,4.1,"Electrician,Electric Worker,Wiring maker"
114,jafarch51@gmail.com,jafarch51,Jafar,Ch,,G%rQFmfvc@9,3334343255,,,24/06/1993,1,1,01/01/2023,01/01/2023,,,1,0,53,4.2,"Gardner,Garden Cleaner,Mali"
115,hamadbhutta33@outlook.com,hamadbt33,Hamad,Bhutta,,7lYe6eH62v,3088976232,,,14/11/1982,1,1,01/01/2023,01/01/2023,,,1,0,31,4.3,"Chokidar,Gatekeeper,Securitygard"
116,saleem34390@gmail.com,saleem34390,Saleem,Shaikh,,10fycL57Oi,3048987802,,,09/10/1993,1,1,01/01/2023,01/01/2023,,,1,0,69,4.2,Carpenter
117,waleedali02@gmail.com,waleedali02,Waleed,Ali,,7lYe6eH62v,3094309893,,,09/07/1984,1,1,01/01/2023,01/01/2023,,,1,0,19,4.2,"Electrician,Ac Service"
118,zahidali043@gmail.com,zahidali043,Zahid,Ali,,@h9J91nOpP,3092398076,,,11/08/1998,1,1,01/01/2023,01/01/2023,,,1,0,67,2.4,Gardner
119,hamidkh007@gmail.com,hamidkh007,Hamid,Khan,,yBRPqe5@*,3498093667,,,19/04/1990,1,1,01/01/2023,01/01/2023,,,1,0,29,2.9,"Web Developer,Java,Shopify Developer,Shopify Expert,Shopify Website Maker"
120,akbarali009@gmail.com,akbarali009,Akbar,Ali,,h5HQxv05q6v,3098799090,,,12/10/1999,1,1,01/01/2023,01/01/2023,,,1,0,39,4.4,"Video Editor,Movie Maker,Camer Man,Video Maker,Still Photographer"
121,hashmat600@gmail.com,hashmat600,Hashmat,Khatak,,mjhffff889,3022393449,,,08/07/1990,1,1,01/01/2023,01/01/2023,,,1,0,47,4.1,"Plumber,Worker,sanitary worker,sanitary cleaner"
122,shanjv07@gmail.com,shanjv07,Shan,Javaid,,y9+r6TlJ1#Qm,3404432399,,,11/01/1984,1,1,01/01/2023,01/01/2023,,,1,0,35,2.8,"Mazdor,Mistry,Worker"
123,harisrauf150@gmail.com,harisrauf150,Haris,Rauf,,kqWSHn9yN0Y,343399206,,,07/06/1990,1,1,01/01/2023,01/01/2023,,,1,0,54,4.1,"Wordpress developer,Web Designer,web developer"
124,kabirbutt13@gmail.com,kabirbutt13,Kabir,Butt,,ZwMqn3Nm8Ab,3061326545,,,11/03/1990,1,1,01/01/2023,01/01/2023,,,1,0,25,4.5,"Painter,door and wall painter,paint worker"
125,bilalrana188@gmail.com,bilalrana188,Bilal,Rana,,@rzVKXCp303,3004329876,,,03/05/1984,1,1,01/01/2023,01/01/2023,,,1,0,61,2.9,"Java developer,Python programmer,python developer"
126,babarriaz709@gmail.com,babarriaz709,Babar,Riaz,,IDNyaJf9tg,3001239709,,,24/05/1993,1,1,01/01/2023,01/01/2023,,,1,0,13,2.9,"Machine Learning engineer,Python developer,data scientist"
127,fawadmaqbool007@outlook.com,fawadmaqbool007,Fawad,Maqbool,,*rzujHsr8hg,3022309876,,,12/04/1983,1,1,01/01/2023,01/01/2023,,,1,0,39,3.7,"Plumber,Electrician,sanitary worker"
128,shakirsh99@gmail.com,shakirsh99,Shakir,Shah,,gv90MCxn1,3054347689,,,09/11/1994,1,1,01/01/2023,01/01/2023,,,1,0,8,4.9,"Worker,Mazdoor,Mazdor,cleaner"
129,zulfibukhari89@gmail.com,zulfibukhari89,Zulfi,Bukhari,,1CN8akqon,3190044206,,,18/07/1999,1,1,01/01/2023,01/01/2023,,,1,0,28,3.5,"gardner,gate keeper"
130,yasirkhan43@gmail.com,yasirkhan43,Yasir,Khan,,CV&0Zi3y,3022347076,,,07/08/1991,1,1,01/01/2023,01/01/2023,,,1,0,44,4.5,Painter
131,shahbazgill113@gmail.com,shahbazgill113,Shahbaz,Gill,,Xb4behcq3K,3400498092,,,11/04/1982,1,1,01/01/2023,01/01/2023,,,1,0,44,4.3,"still photographer,photo editor"
132,razaqdaud78@gmail.com,razaqdaud78,Razaq,Daud,,$NSvG#HY@9,3098762346,,,14/12/1988,1,1,01/01/2023,01/01/2023,,,1,0,78,2.5,"Video maker,Video Editor,Adobe Expert"
